company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
SHLM,2016,4.866666667,74497.901,16.06,4.17,-14.68,1.21,11.04,-98.1,-22.53,4.34,22.92,nan,nan,451.04,2.05,41.19,24.58,90.89,1.68,0.96,5.84,57.82,51,6.31,7.93,1.21,0.113602392
SHLM,2015,5.266666667,72482.854,15.09,3.54,1.19,1.24,4.03,4.35,3.64,-2.24,-3.15,-52.61,-57.07,-77.47,1.78,37.77,19.52,75.07,1.94,1.11,1.79,60.91,55.74,5.99,8.42,1.24,0.091710183
SHLM,2014,6.175,69710.435,13.49,3.57,2.96,1.78,2.87,10.86,7.68,14.7,15.45,115.31,114.61,36.59,1.43,56.37,30.16,64.94,1.88,1.15,0.64,51.85,50.04,7.04,10.54,1.78,-0.244016778
SHLM,2013,7.358333333,66766.067,13.18,3.55,2.52,1.75,2.44,5.17,4.27,1.26,-11.11,-48.71,-48.26,-12.75,1.25,60.38,30.22,58.78,2.01,1.2,0.41,52.65,50.49,6.93,9.78,1.75,0.149461146
SHLM,2012,8.075,64621.02,13.42,4.12,3.21,1.73,2.38,9.69,7.82,-3.93,7.77,24.13,30.3,53.79,1.63,59.34,30.93,57.78,1.93,1.17,0.34,56.46,50.13,6.47,9.16,1.73,0.218382861
ADES,2016,4.866666667,74497.901,52.82,35.79,30.79,0.41,3.8,40.33,16.66,32.74,66.4,48.33,48.43,nan,100.04,26.63,26.07,73.69,1.02,0.82,1.81,92.03,121.13,3.97,0.56,0.41,0.045454545
ADES,2015,5.266666667,72482.854,48.25,28.55,25.36,0.51,3.01,32.55,17.27,34.41,10.06,10.33,10.36,nan,96.97,25.65,14.73,66.74,1.74,1.42,1.56,62.21,90.4,5.87,0.71,0.51,0.294117647
ADES,2014,6.175,69710.435,48.08,34.86,30.9,0.52,1.95,31.46,20,nan,nan,nan,nan,nan,39.08,31.69,31.31,48.74,1.01,0.8,0.34,85.46,109.15,4.27,0.76,0.52,-0.686704695
AEGN,2016,4.866666667,74497.901,12.1,6.46,5.66,1.38,2.66,13.82,11.92,4.42,-39.45,-52.9,-52.91,nan,0.51,65.28,49.08,62.46,1.33,1.11,0.15,11.61,37.4,31.45,8.91,1.38,0.072995781
AEGN,2015,5.266666667,72482.854,14.42,11.13,11.49,1.35,3.01,31.2,25.5,7.81,-8.28,-14.77,-14.77,nan,2.32,59.01,49.78,66.81,1.19,0.88,0.2,11.77,34.33,31.01,9.47,1.35,0.227343345
AEGN,2014,6.175,69710.435,16.15,13.12,11.72,1.36,2.9,37.38,29.67,23.72,36.41,38.93,38.92,nan,6,56.42,45.55,65.5,1.24,1.06,0.23,11.75,31.43,31.06,10.03,1.36,0.037614186
AEGN,2013,7.358333333,66766.067,18.6,11.87,11.47,1.37,2.64,31.55,22.49,5.63,nan,nan,nan,nan,0.24,60.42,38.27,62.08,1.58,1.48,0.24,10.25,34.94,35.6,7.69,1.37,-0.14984011
AEGN,2012,8.075,64621.02,4.87,-1.95,-2.38,1.52,2.59,-6.51,-4.05,-7.25,nan,nan,nan,nan,0.36,54.16,33.79,61.42,1.6,1.5,0.46,19.18,27.55,19.02,6.58,1.52,-0.013519603
AMTX,2016,4.866666667,74497.901,8.1,-0.55,-10.92,1.78,nan,nan,nan,-2.38,nan,nan,nan,nan,0.44,9.05,34.98,164.02,0.26,0.11,nan,3.47,25,105.15,2.09,1.78,-0.604316547
AMTX,2015,5.266666667,72482.854,2.86,-5.87,-18.5,1.7,nan,nan,nan,-29.39,nan,nan,nan,nan,0.05,9.62,35.24,142.45,0.27,0.05,nan,3.02,23.73,120.8,2,1.7,-0.520689655
AMTX,2014,6.175,69710.435,17.88,11.6,3.44,2.23,nan,nan,nan,17,871.48,nan,nan,nan,0.95,8.9,30.63,103.33,0.29,0.06,nan,3.54,18.95,103.15,2.68,2.23,-0.499136442
AMRK,2016,4.866666667,74497.901,0.51,0.18,100,17.78,6.91,15.55,3.26,11.76,66.8,31.48,30,nan,0.02,95.68,83.86,85.52,1.14,0.34,nan,0.43,0.33,858.41,2142.78,17.78,-0.248717949
AMRK,2015,5.266666667,72482.854,0.4,0.12,100,19.24,5.82,13.38,2.7,1.52,-37.94,-14.63,-8.26,nan,0.03,95.93,82.83,82.83,1.16,0.4,nan,1.54,2.59,237.19,2681.2,19.24,0.034482759
AMRK,2014,6.175,69710.435,0.46,0.2,100,19.45,6.17,16.08,3.96,-17.5,-26.84,-34,nan,nan,0.02,96.78,83.78,83.79,1.16,0.47,nan,3,5.01,121.65,4136.53,19.45,0.890672016
AMWD,2016,4.866666667,74497.901,21.09,9.84,9.69,2.19,1.66,23,21.15,14.73,71.08,65.42,61.54,11.29,3.03,64.76,19.78,39.84,3.27,2.77,0.08,19.65,16.92,18.58,10.25,2.19,0.73089701
AMWD,2015,5.266666667,72482.854,18.48,6.6,6.59,2.26,1.74,16.89,15.41,13.62,60.85,73.5,68.7,18.66,2.42,70.57,21.26,42.38,3.32,2.73,0.09,20.48,17.21,17.83,10.35,2.26,-0.059139785
AMWD,2014,6.175,69710.435,17.09,4.66,4.63,2.33,1.73,12.15,10.91,15.24,81.48,109.68,98.48,108.28,1.09,68.29,23.15,42.27,2.95,2.38,0.11,21.48,15.9,16.99,9.81,2.33,0.977744807
AMWD,2013,7.358333333,66766.067,16.28,2.96,2.66,2.26,2.01,7.07,6.25,22.22,nan,nan,nan,67.13,1.41,60.52,23.51,50.27,2.57,1.97,0.16,20.72,14.79,17.62,8.44,2.26,0.023020491
AMWD,2012,8.075,64621.02,12.89,-3.32,-6.45,1.93,2.04,-14.64,-12.24,13.97,nan,nan,nan,13.71,1.29,49.45,22.34,50.96,2.21,1.72,0.18,22.5,15.46,16.22,5.86,1.93,0.420920201
AMRS,2016,4.866666667,74497.901,15.65,-131.89,-144.04,0.56,nan,nan,nan,96.74,nan,nan,nan,nan,1.37,45.52,85.21,243.05,0.54,0.39,nan,46.47,74.89,7.85,1.18,0.56,-0.657534247
