ABIL,2016,4.866666666666666666666666667,74497.901,47.8,-32.2,-42.2,0.43,3.28,-58.66,-58.66,-68.35,nan,nan,nan,nan,1.1,95.01,68.75,69.52,1.38,0.71,nan,77.13,225.07,4.73,14.08,0.43,-0.8411552346570397111913357401
ABIL,2015,5.266666666666666666666666667,72482.854,43.14,34.28,34.09,0.82,2.57,129.67,129.67,nan,nan,nan,nan,nan,0.68,71.98,34.09,61.04,2.11,1.94,nan,26.62,11.58,13.71,68.89,0.82,-0.7202020202020202020202020202
ABIL,2014,6.175,69710.435,34.86,18.39,19.64,nan,16.28,-18.29,-18.98,nan,nan,nan,nan,nan,nan,0.06,0.29,93.86,0.21,0.2,nan,nan,nan,nan,nan,nan,0
AMSC,2016,4.866666666666666666666666667,74497.901,22.89,-20.14,-21.61,0.71,1.62,-28.31,-26.43,36.14,nan,nan,nan,nan,1.25,61.59,30.3,38.26,2.03,1.43,0.02,53.16,31.79,6.87,1.81,0.71,-0.5074626865671641791044776119
AMSC,2015,5.266666666666666666666666667,72482.854,4.38,-54.11,-69.25,0.47,1.68,-50.64,-45.81,-16.15,nan,nan,nan,nan,1.04,48.24,35.29,40.3,1.37,0.64,0.05,41.34,23.84,8.83,1.17,0.47,0.1569858712715855572998430141
AMSC,2014,6.175,69710.435,13.38,-45.69,-65.87,0.44,1.5,-47.4,-41.98,-3.78,nan,nan,nan,nan,0.33,49.42,28.38,33.38,1.74,1.06,0.06,54.16,22.28,6.74,1.21,0.44,-0.1391891891891891891891891892
AMSC,2013,7.358333333333333333333333333,66766.067,17.71,-56.99,-75.95,0.37,1.73,-45.61,-40.57,14.21,nan,nan,nan,nan,1.64,55.45,36.8,42.28,1.51,0.73,0.07,73.18,38.91,4.99,1.06,0.37,-0.5487804878048780487804878049
AMSC,2012,8.075,64621.020,-8.28,-139.4,-176.97,0.22,1.55,-59.78,-59.78,-73.29,nan,nan,nan,nan,19.76,56.29,33.84,35.36,1.66,0.82,nan,79.69,36.07,4.58,0.82,0.22,-0.3740458015267175572519083969
CRMT,2016,4.866666666666666666666666667,74497.901,39.81,-7.74,3.65,1.26,1.78,5.05,-7.44,7.18,nan,-60.68,-59.08,nan,0.89,91.36,17.03,43.69,5.37,4.89,0.47,nan,13.96,nan,14.74,1.26,0.02057142857142857142857142857
CRMT,2015,5.266666666666666666666666667,72482.854,42.35,-1.65,9.95,1.24,1.75,13.33,-1.53,8.76,nan,39.57,44.44,nan,0.85,91.27,17.02,42.78,5.36,4.8,0.45,nan,13.11,nan,13.92,1.24,0.6391907081303859123267141251
CRMT,2014,6.175,69710.435,42.16,-4.13,7.75,1.2,1.71,10.16,-3.69,4.51,nan,-34.31,-33.04,nan,1.63,90.57,14.55,41.38,6.22,5.59,0.46,nan,12.62,nan,13.56,1.2,-0.5
CRMT,2013,7.358333333333333333333333333,66766.067,42.52,1.13,12.18,1.24,1.77,16.62,1.03,7.47,-60.16,-2.49,3.7,nan,1.38,91.48,15.64,43.55,5.85,5.22,0.49,nan,12.35,nan,14.4,1.24,0.2640303102060146815060383614
CRMT,2012,8.075,64621.020,42.25,3.06,13.64,1.32,1.69,17.75,2.94,13.16,14.52,16.91,27.56,nan,1.15,91.03,15.5,40.69,5.88,5.28,0.42,nan,12.33,nan,14.58,1.32,0.04220138203356367226061204344
BSET,2016,4.866666666666666666666666667,74497.901,61.23,6.53,5.97,1.54,1.54,8.84,8.53,0.26,4.56,-22.53,-22.34,-4.68,4.98,50.52,27.68,35.06,1.83,0.99,0.02,16.71,45.97,21.84,4.3,1.54,0.2368421052631578947368421053
BSET,2015,5.266666666666666666666666667,72482.854,58.39,6.26,7.4,1.65,1.59,12.23,11.73,26.47,78.2,119.73,116.09,53.78,3.24,52.13,28.26,37.23,1.84,1.01,0.05,15.43,43.94,23.66,5.04,1.65,0.2121212121212121212121212121
BSET,2014,6.175,69710.435,53.54,4.44,4.29,1.46,1.54,5.92,5.91,6.05,51.23,82.48,85.11,nan,5.28,56.23,27.74,34.86,2.03,0.97,0.01,16.77,48.58,21.77,4.9,1.46,0.2854946181445412608918503332
BSET,2013,7.358333333333333333333333333,66766.067,51.67,3.11,2.55,1.42,1.43,3.24,3.28,19.14,72.77,-80.92,-80.5,nan,4.45,55.96,22.78,30.3,2.46,1.11,0.02,18.08,49.71,20.18,5.32,1.42,0.2768324607329842931937172775
