company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
BUFF,2016,4.866666667,74497.901,44.85,22,17.99,1.98,4.44,167.38,30.05,11.91,37.98,45.7,44.44,-44.9,4.9,74.6,15.2,77.5,4.91,4.13,2.59,28.18,19.19,12.95,8.29,1.98,0.363976705
BUFF,2015,5.266666667,72482.854,40.76,18.7,14.14,2.28,55.23,nan,nan,11.95,-10.55,-12.31,-13.46,124.99,0.93,76.55,20.65,98.19,3.71,2.88,41.28,21.55,19.37,16.94,8.97,2.28,0.284874399
BRID,2016,4.866666667,74497.901,39.42,8.37,7.74,1.72,2.24,20.84,20.49,7.37,33.48,-49.68,-49.41,-79.16,2.33,55.68,14.01,55.41,3.98,1.93,0.01,47.6,21.88,7.67,13.6,1.72,0.103781882
BRID,2015,5.266666667,72482.854,35.93,6.22,6.22,1.95,2.11,50.72,49.05,-2.21,nan,nan,nan,nan,1.08,54.12,18.87,52.66,2.86,1.44,0.02,47.28,25.91,7.72,11.6,1.95,0.306896552
BRID,2014,6.175,69710.435,28.98,-3.32,-3.32,2.17,2.3,-14.8,-14.1,3.41,nan,nan,nan,nan,2.91,55.46,24.76,56.6,2.24,0.74,0.04,38.66,20.41,9.44,11.37,2.17,0.122580645
BRID,2013,7.358333333,66766.067,35.22,2.39,2.39,2.04,1.94,10.88,10.25,1.29,-21.6,-20.13,-20,nan,3.39,62.39,24.16,48.34,2.58,1.35,0.04,33.82,20.16,10.79,12.72,2.04,-0.191022965
BRID,2012,8.075,64621.02,34.78,3.15,3.15,2.15,3.06,16.23,15.05,7.69,nan,nan,nan,nan,0.82,65.24,24.17,67.27,2.7,1.5,0.07,30.75,19.02,11.87,15,2.15,0.406754772
BUR,2016,4.866666667,74497.901,nan,75.95,63.68,0.02,1.62,21.02,16.82,10.18,nan,65.78,67.8,nan,0.96,19.77,9.81,38.43,2.02,2,0.46,175.85,nan,2.08,9.68,0.02,-0.736040609
BUR,2015,5.266666667,72482.854,nan,74.91,65.9,0.02,1.37,15.79,13.34,-85.43,nan,40.82,41.92,nan,0.41,37.42,4.66,26.94,8.02,8.02,0.3,238,nan,1.53,25.18,0.02,0.296052632
BUR,2014,6.175,69710.435,nan,74.01,57.69,0.18,1.39,12.38,9.68,289.06,1965.7,1649.98,nan,nan,0.12,38.88,2.37,28.26,16.4,16.38,0.36,50.18,nan,7.27,184.35,0.18,-0.339130435
BUR,2013,7.358333333,66766.067,nan,70.09,3.54,0.06,1.07,0.75,0.75,3089.86,nan,-84.67,-86.86,nan,0.39,28.93,5.94,6.53,4.87,4.86,nan,200.32,nan,1.82,39.45,0.06,-0.233333333
BUR,2012,8.075,64621.02,100,62.87,31.14,nan,1.04,5.42,5.42,nan,nan,9.36,8.61,nan,0.05,30.44,2.27,3.74,13.44,13.38,nan,3129.28,nan,0.12,1.17,nan,-0.340659341
CVGW,2016,4.866666667,74497.901,11.49,6.53,6.45,3.05,1.53,19.05,16.76,9.2,39.9,39.79,38.85,109.08,2.34,41.15,33.44,34.52,1.23,0.77,nan,25.1,9.27,14.54,11.9,3.05,0.374592834
CVGW,2015,5.266666667,72482.854,9.95,5.1,5.05,3.01,1.54,14.93,12.36,9.5,26.13,nan,nan,97.12,2.11,41,34.47,34.85,1.19,0.73,nan,24.54,8.2,14.87,13.51,3.01,0.253061224
CVGW,2014,6.175,69710.435,9.1,4.42,-0.53,2.99,1.58,0.06,0.29,13.17,37.91,-99.44,-99.15,39.53,1.48,43.41,35.63,36.71,1.22,0.65,0.02,26.04,6.87,14.01,14.23,2.99,0.035940803
CVGW,2013,7.358333333,66766.067,8.6,3.75,-1.07,3.09,1.87,14.55,11.06,25.46,-8.83,1.74,1.74,-50.09,0.98,45.73,40.58,46.46,1.13,0.67,0.06,24.79,5.67,14.72,13.4,3.09,0.56311963
CVGW,2012,8.075,64621.02,11.01,5.07,4.69,2.8,1.89,16.57,12.32,5.47,50.2,54.07,53.33,359.67,1.41,40.15,35.56,46.99,1.13,0.66,0.12,24.83,5.56,14.7,11.29,2.8,0.200317334
CALM,2016,4.866666667,74497.901,33.95,24.64,25.53,1.87,1.21,39.05,37.04,21.1,99.85,95.99,96.1,170.38,3.99,56.33,7.52,17.52,7.5,5.62,0.01,15.4,11.72,23.71,5.08,1.87,0.006111363
CALM,2015,5.266666667,72482.854,25.11,14.93,15.64,1.81,1.32,24.86,22.93,9.38,61.13,47.66,47.35,74.67,5.22,54.81,14.22,24.16,3.86,2.73,0.06,21.07,12.94,17.32,4.68,1.81,-0.046611998
CALM,2014,6.175,69710.435,21.01,10.14,11.23,1.85,1.37,19.65,17.94,11.86,66.74,116.58,115.24,107.16,4.11,54.87,14.94,26.76,3.68,2.45,0.09,20.56,13.82,17.75,4.96,1.85,0.187291827
