FLWS,2016,4.866666666666666666666666667,74497.901,44.11,3.69,4.39,2.33,2.09,16.35,10.53,4.59,15.06,81.77,83.33,nan,2.89,32.9,23.86,52.11,1.38,0.39,0.4,5.96,19.66,61.27,6.87,2.33,0
FLWS,2015,5.266666666666666666666666667,72482.854,43.44,3.35,2.7,2.91,2.4,10.36,6.32,48.28,58.68,31.97,30.43,nan,2.9,31.87,24.71,58.32,1.29,0.38,0.56,5.29,17.22,69.0,9.74,2.91,0.4697802197802197802197802198
FLWS,2014,6.175,69710.435,41.74,3.13,2.95,2.92,1.46,8.72,8.71,2.83,-8.07,24.76,21.05,nan,3.04,34.32,28.08,30.78,1.24,0.25,nan,6.83,20.99,53.46,13.37,2.92,-0.1165048543689320388349514563
FLWS,2013,7.358333333333333333333333333,66766.067,41.49,3.51,3.37,2.86,1.48,7.44,7.44,2.69,11.1,-30.18,-29.63,nan,2.73,37.05,30.3,32.31,1.22,0.2,nan,7.43,18.6,49.15,14.48,2.86,0.5231053604436229205175600739
FLWS,2012,8.075,64621.020,41.35,2.82,2.98,2.75,1.64,11.63,10.09,3.84,73.03,208.39,200.0,nan,2.45,43.7,32.48,38.93,1.35,0.51,0.08,7.71,15.23,47.36,14.47,2.75,0.4741144414168937329700272480
AGNC,2016,4.866666666666666666666666667,74497.901,nan,nan,85.58,0.01,8.1,8.12,nan,105.65,nan,189.77,231.48,-532.0,nan,nan,nan,87.07,nan,nan,0.43,nan,nan,nan,nan,0.01,0.1136238279095421952564809708
AGNC,2013,7.358333333333333333333333333,66766.067,nan,nan,88.33,0.02,8.94,12.93,nan,nan,nan,-1.41,-21.34,776.0,nan,nan,nan,88.59,nan,nan,0.11,nan,nan,nan,nan,0.02,0.1316744427164333851736651115
AGNCB,2016,4.866666666666666666666666667,74497.901,nan,nan,85.58,0.01,8.1,8.12,nan,105.65,nan,189.77,nan,-532.0,nan,nan,nan,87.07,nan,nan,0.43,nan,nan,nan,nan,0.01,0.03318672530987604958016793283
AMMA,2016,4.866666666666666666666666667,74497.901,35.0,-830.47,-831.03,0.08,1.02,-62.4,-62.4,nan,nan,nan,nan,nan,30.7,34.45,2.03,2.03,16.96,16.48,nan,2.61,nan,139.99,9.67,0.08,-0.6813186813186813186813186813
ASPS,2016,4.866666666666666666666666667,74497.901,30.81,10.59,4.44,1.41,11.34,51.34,8.2,-5.15,-35.02,-31.02,-27.72,-34.94,2.33,47.22,21.65,91.16,2.19,1.9,7.69,28.0,5.4,13.04,8.96,1.41,0.05302745393004889056036103798
ASPS,2015,5.266666666666666666666666667,72482.854,34.63,15.95,5.05,1.39,14.28,91.05,10.76,-2.54,-15.95,-69.07,-64.5,19.99,3.44,42.05,17.77,92.98,2.37,2.21,10.37,37.7,9.17,9.68,8.52,1.39,-0.04386911183027687882056814096
ASPS,2014,6.175,69710.435,34.45,15.76,13.65,1.43,19.51,136.47,26.44,40.42,-4.65,3.47,9.63,-12.35,6.01,38.33,17.88,94.87,2.15,1.94,14.42,36.11,8.9,10.11,10.04,1.43,-0.1769754365196803788102989050
ASPS,2013,7.358333333333333333333333333,66766.067,35.9,21.09,18.52,1.33,4.63,82.48,32.62,35.19,40.26,17.49,17.16,86.92,4.44,33.92,18.01,78.35,1.89,1.79,2.49,45.19,8.6,8.08,11.16,1.33,-0.7869885898001639034230599508
ASPS,2012,8.075,64621.020,35.57,22.42,21.93,1.74,2.71,68.88,42.96,34.15,48.7,55.57,59.93,-14.92,6.26,47.49,16.74,62.96,2.85,2.71,1.24,45.26,nan,8.06,14.96,1.74,0.8306982111944604731679169071
AMCX,2016,4.866666666666666666666666667,74497.901,53.55,27.39,16.51,0.63,nan,nan,nan,6.77,4.24,-26.25,-25.35,44.21,2.87,37.86,22.54,100.71,1.78,1.24,nan,91.08,30.39,4.01,16.68,0.63,0.03324417271685135651509361865
AMCX,2015,5.266666666666666666666666667,72482.854,55.94,28.06,22.58,0.63,nan,nan,nan,18.63,28.84,40.64,39.94,-9.41,2.65,36.05,20.66,100.98,1.85,1.2,nan,89.22,36.32,4.09,17.34,0.63,-0.2991430101767541510444563471
AMCX,2014,6.175,69710.435,54.79,25.83,18.25,0.66,nan,nan,nan,36.67,25.12,-10.3,-10.5,nan,1.83,33.42,19.5,109.91,1.82,1.08,nan,81.03,27.83,4.5,21.23,0.66,0.1710835816214520934608750196
AMCX,2013,7.358333333333333333333333333,66766.067,58.4,28.22,29.46,0.61,nan,nan,nan,17.69,23.81,112.95,111.64,nan,1.53,49.48,15.73,121.68,3.15,2.18,nan,77.8,29.54,4.69,22.43,0.61,-0.06372045220966084275436793422
AMCX,2012,8.075,64621.020,62.48,26.83,16.43,0.56,nan,nan,nan,13.88,11.2,7.97,5.59,129.85,1.37,51.42,31.41,133.69,1.64,1.12,nan,79.15,43.4,4.61,20.08,0.56,0.3759595959595959595959595960
UHAL,2016,4.866666666666666666666666667,74497.901,42.67,26.46,23.47,0.44,3.62,23.65,12.33,6.54,30.74,37.07,37.01,nan,46.07,31.1,6.17,72.38,5.04,4.62,1.17,3.72,nan,98.01,0.72,0.44,0.02251143158635244460077383046
UHAL,2015,5.266666666666666666666666667,72482.854,39.01,21.57,18.26,0.48,3.64,20.91,11.17,8.44,5.21,4.19,4.0,nan,36.16,31.72,7.2,72.58,4.4,4.01,1.14,3.65,nan,99.98,0.81,0.48,-0.05111681643132220795892169448
