AXAS,2016,4.866666666666666666666666667,74497.901,56.99,-10.19,-170.41,0.26,8.74,-187.2,-53.98,-15.63,nan,nan,nan,nan,55.99,14.81,19.25,88.55,0.77,0.43,5.22,59.08,324.3,6.18,0.31,0.26,-0.04280155642023346303501945525
AXAS,2015,5.266666666666666666666666667,72482.854,55.61,-19.74,-190.02,0.21,3.17,-87.07,-48.18,-49.89,nan,nan,nan,nan,103.52,12.2,13.09,68.47,0.93,0.37,1.64,77.09,630.54,4.73,0.24,0.21,1.424528301886792452830188679
AXAS,2014,6.175,69710.435,72.09,29.84,46.09,0.45,1.81,42.98,31.57,41.82,90.54,63.71,51.22,nan,144.12,10.25,21.69,44.65,0.47,0.31,0.37,75.33,2082.06,4.85,0.53,0.45,-0.6394557823129251700680272109
AXAS,2013,7.358333333333333333333333333,66766.067,65.73,25.02,51.49,0.41,2.57,57.85,28.54,37.56,511.56,nan,nan,nan,102.95,17.68,36.99,61.14,0.47,0.47,0.48,104.56,2041.17,3.49,0.48,0.41,-0.09815950920245398773006134969
AXAS,2012,8.075,64621.020,89.97,8.42,5.2,0.28,5.15,-34.37,-7.42,6.11,-70.59,nan,nan,nan,104.4,9.57,22.65,80.59,0.42,0.41,2.66,88.72,1759.59,4.11,0.35,0.28,0.4885844748858447488584474886
AHGP,2016,4.866666666666666666666666667,74497.901,40.11,18.8,17.43,0.85,3.78,32.8,15.95,-15.06,-21.02,nan,-11.9,nan,4.72,12.8,19.46,65.42,0.86,0.6,0.83,25.98,23.16,14.05,1.14,0.85,-0.04661921708185053380782918149
AHGP,2015,5.266666666666666666666666667,72482.854,37.5,20.21,13.38,0.98,4.29,37.83,16.77,-1.17,-14.85,nan,-25.68,nan,9.36,13.51,22.0,71.33,0.76,0.38,1.2,24.65,22.03,14.81,1.31,0.98,0.3924677898909811694747274529
AHGP,2014,6.175,69710.435,38.73,23.46,21.42,1.04,4.05,53.62,22.71,4.31,22.2,nan,21.48,nan,13.36,15.05,22.96,69.23,0.82,0.52,1.07,26.8,21.5,13.62,1.4,1.04,-0.6691260862436464994261354320
AHGP,2013,7.358333333333333333333333333,66766.067,35.0,20.03,17.82,1.08,4.29,38.86,17.92,8.42,13.48,19.28,19.21,nan,14.93,15.36,12.05,71.94,1.53,1.2,1.71,27.01,22.97,13.51,1.4,1.08,0.04025243049633293535732560123
AHGP,2012,8.075,64621.020,32.94,19.13,16.23,1.1,2.77,29.4,15.75,10.35,-5.06,-8.44,-8.38,nan,22.58,14.5,10.66,63.87,1.36,0.98,1.12,27.04,26.5,13.49,1.5,1.1,0.2322404371584699453551912568
ARLP,2016,4.866666666666666666666666667,74497.901,40.12,18.95,17.58,0.85,2.02,24.92,15.82,-15.05,-20.72,10.84,60.66,nan,4.71,12.62,14.94,50.27,0.85,0.59,0.45,25.98,23.02,14.05,1.14,0.85,-0.1224944320712694877505567929
ARLP,2015,5.266666666666666666666666667,72482.854,37.52,20.3,13.47,0.98,2.39,15.98,10.09,-1.17,-15.19,-38.42,-55.77,nan,9.36,13.33,17.94,58.2,0.74,0.37,0.67,24.65,21.92,14.81,1.31,0.98,0.6641957005189028910303928836
ARLP,2014,6.175,69710.435,38.74,23.65,21.61,1.04,2.25,38.48,21.77,4.31,22.7,26.36,31.41,nan,13.36,14.92,18.42,55.59,0.81,0.52,0.6,26.8,21.39,13.62,1.4,1.04,-0.6866434378629500580720092915
ARLP,2013,7.358333333333333333333333333,66766.067,35.01,20.11,17.9,1.08,2.49,34.96,18.33,8.42,12.71,17.26,18.63,nan,14.92,15.17,10.02,59.88,1.51,1.18,1.0,27.01,22.86,13.52,1.4,1.08,0.1181818181818181818181818182
ARLP,2012,8.075,64621.020,32.95,19.34,16.44,1.1,2.77,34.42,18.07,10.35,-4.7,-13.81,-24.72,nan,20.87,14.38,10.65,63.93,1.35,0.97,1.12,27.04,26.37,13.5,1.5,1.1,0.3262142611091973820186014468
AETI,2016,4.866666666666666666666666667,74497.901,2.69,-19.49,-18.55,1.02,3.18,-50.34,-36.43,-22.96,nan,nan,nan,nan,1.92,45.79,36.45,68.58,1.26,1.14,0.35,65.5,68.59,5.57,4.97,1.02,-0.0625
AETI,2015,5.266666666666666666666666667,72482.854,13.43,-4.77,-4.41,1.2,2.1,-14.86,-11.97,-14.27,nan,nan,nan,nan,1.2,50.02,21.65,52.49,2.31,2.11,0.23,69.64,45.0,5.24,6.03,1.2,-0.2380952380952380952380952381
