FCCY,2016,4.866666666666666666666666667,74497.901,nan,nan,32.65,0.04,9.91,9.25,nan,-2.27,nan,7.17,6.54,nan,1.07,nan,nan,89.91,nan,nan,0.18,nan,nan,nan,3.91,0.04,-0.02139037433155080213903743316
FCCY,2015,5.266666666666666666666666667,72482.854,nan,nan,30.83,0.05,10.09,9.47,nan,13.3,nan,98.9,93.39,nan,1.71,nan,nan,90.09,nan,nan,0.81,nan,nan,nan,3.87,0.05,0.4529914529914529914529914530
FCCY,2014,6.175,69710.435,nan,nan,17.62,0.05,10.98,5.6,nan,25.85,nan,-24.64,-35.79,nan,1.25,nan,nan,90.9,nan,nan,0.5,nan,nan,nan,3.59,0.05,0.2410800385728061716489874638
FCCY,2013,7.358333333333333333333333333,66766.067,nan,nan,27.45,0.04,10.86,8.67,nan,-7.25,nan,14.22,10.83,nan,0.71,nan,nan,90.79,nan,nan,0.42,nan,nan,nan,2.96,0.04,-0.01049618320610687022900763359
FCCY,2012,8.075,64621.020,nan,nan,25.27,0.04,12.93,8.43,nan,19.46,nan,28.72,22.73,nan,3.32,nan,nan,92.26,nan,nan,0.94,nan,nan,nan,3.13,0.04,0.3182389937106918238993710692
SRCE,2016,4.866666666666666666666666667,74497.901,nan,nan,34.46,0.05,8.16,8.72,nan,3.51,nan,0.52,2.3,nan,15.09,nan,nan,87.74,nan,nan,0.2,nan,nan,nan,1.53,0.05,0.1072548141513658755038065383
SRCE,2015,5.266666666666666666666666667,72482.854,nan,nan,35.45,0.05,8.06,9.14,nan,4.88,nan,-1.0,-0.13,nan,25.62,nan,nan,87.59,nan,nan,0.18,nan,nan,nan,1.73,0.05,0.4467120181405895691609977324
SRCE,2014,6.175,69710.435,nan,nan,38.61,0.05,7.86,9.68,nan,1.79,nan,5.66,7.17,nan,14.93,nan,nan,87.28,nan,nan,0.19,nan,nan,nan,2.05,0.05,-0.1002623141941125036432526960
SRCE,2013,7.358333333333333333333333333,66766.067,nan,nan,35.87,0.05,8.06,9.61,nan,0.46,nan,10.73,10.4,nan,12.12,nan,nan,87.61,nan,nan,0.2,nan,nan,nan,2.29,0.05,0.07420162805259862241703193488
SRCE,2012,8.075,64621.020,nan,nan,32.49,0.05,8.15,9.17,nan,1.61,nan,2.98,3.06,nan,4.07,nan,nan,87.72,nan,nan,0.23,nan,nan,nan,3.4,0.05,0.4459031235853327297419646899
ANCX,2016,4.866666666666666666666666667,74497.901,nan,nan,33.91,0.06,11.87,14.29,nan,15.09,nan,6.39,5.48,nan,1.15,nan,nan,91.58,nan,nan,0.5,nan,nan,nan,10.97,0.06,0.002881844380403458213256484150
ANCX,2015,5.266666666666666666666666667,72482.854,nan,nan,35.96,0.06,10.8,14.82,nan,20.33,nan,10.73,9.77,nan,0.35,nan,nan,90.74,nan,nan,0.5,nan,nan,nan,9.64,0.06,0.3567937438905180840664711632
ANCX,2014,6.175,69710.435,nan,nan,39.3,0.06,10.65,14.66,nan,-9.59,nan,5.44,4.72,nan,0.39,nan,nan,90.61,nan,nan,nan,nan,nan,nan,7.12,0.06,0.2092198581560283687943262411
ANCX,2013,7.358333333333333333333333333,66766.067,nan,nan,37.81,0.07,9.29,14.48,nan,-30.15,nan,-25.48,-25.73,nan,0.56,nan,nan,89.24,nan,nan,nan,nan,nan,nan,7.14,0.07,0.1317725752508361204013377926
ANCX,2012,8.075,64621.020,nan,nan,39.81,0.1,9.47,20.36,nan,33.77,nan,55.63,55.45,nan,0.33,nan,nan,89.44,nan,nan,0.07,nan,nan,nan,10.05,0.1,0.15
ACNB,2016,4.866666666666666666666666667,74497.901,nan,nan,30.36,0.04,10.05,9.26,nan,1.38,nan,-1.34,-1.64,nan,4.71,nan,nan,90.05,nan,nan,0.62,nan,nan,nan,2.69,0.04,-0.0544
ACNB,2015,5.266666666666666666666666667,72482.854,nan,nan,29.16,0.04,10.01,9.8,nan,4.87,nan,7.07,7.02,nan,3.7,nan,nan,90.01,nan,nan,0.67,nan,nan,nan,2.68,0.04,0.4671361502347417840375586854
ACNB,2014,6.175,69710.435,nan,nan,27.46,0.04,9.91,9.49,nan,3.26,nan,10.47,9.62,nan,7.04,nan,nan,89.9,nan,nan,0.74,nan,nan,nan,2.72,0.04,-0.02068965517241379310344827586
ACNB,2013,7.358333333333333333333333333,66766.067,nan,nan,26.15,0.04,9.79,8.95,nan,-1.97,nan,4.83,4.7,nan,4.88,nan,nan,89.79,nan,nan,0.77,nan,nan,nan,2.85,0.04,0.2043189368770764119601328904
