company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
CAFD,2016,4.866666667,74497.901,87.94,34.01,3.5,0.05,6.34,4.34,3.09,14.53,-2.48,-57.91,-67.72,nan,0.49,2.24,1.02,100,4.72,2.5,2.72,28.57,67.67,12.77,0.1,0.05,0.171802773
CAFD,2015,5.266666667,72482.854,88.63,39.94,20.94,0.05,4.92,9.98,5.11,168.13,146.52,nan,nan,nan,nan,2.65,5.84,100,1.33,0.73,1.42,32.21,57.12,11.33,0.09,0.05,-0.195786865
EGHT,2016,4.866666667,74497.901,72.65,-3.38,-2.85,0.69,1.14,-1.87,-1.87,28.89,nan,nan,nan,12.85,3.34,59.31,11.08,12.17,5.35,5.01,nan,15.44,59.7,23.64,18.51,0.69,-0.013986014
EGHT,2015,5.266666667,72482.854,71.95,2.39,2.9,0.55,1.09,0.7,0.7,26.3,26.24,-23.39,-33.33,29.9,4.03,64.81,7.38,7.92,8.78,8.42,nan,13.65,58.33,26.75,18.09,0.55,0.248908297
EGHT,2014,6.175,69710.435,70.75,2.39,2.97,0.57,1.08,1.21,1.21,19.5,-86.95,-81.96,-84.21,-56.37,2.81,39.08,6.06,7.03,6.45,6.17,nan,13.32,60.32,27.41,17.88,0.57,0.25
EGHT,2013,7.358333333,66766.067,69.43,21.91,22.02,0.76,1.11,10.91,10.91,25.42,228.28,-79.87,-80.81,275.05,5.65,41.72,9,10.21,4.64,4.09,nan,10.44,59.68,34.95,20.51,0.76,-0.097536946
EGHT,2012,8.075,64621.02,69.06,10.35,9.99,1.09,1.1,103.09,103.09,22.29,14.97,966.03,890,5.8,2.76,27.45,9.34,9.4,2.94,2.18,nan,6.68,65.62,54.62,27.6,1.09,0.375338753
ADTN,2016,4.866666667,74497.901,45.75,5.45,7.36,0.98,1.39,7.34,6.45,6.12,157.7,88.94,100,202.61,3.37,52.89,18.96,28.13,2.79,1.83,0.06,47.08,66.57,7.75,8.08,0.98,-0.134228188
ADTN,2015,5.266666667,72482.854,44.48,2.25,4.28,0.88,1.32,3.62,2.99,-4.75,-71.39,-58.21,-55,-84.76,1.96,52.26,14.64,24.13,3.57,2.27,0.06,48.08,57.56,7.59,8.11,0.88,0.297909408
ADTN,2014,6.175,69710.435,49.42,7.48,9.51,0.82,1.35,7.74,6.74,-1.83,-2.79,-2.56,3.9,-13.59,1.79,47.53,16.11,25.68,2.95,2.03,0.05,49.82,59.96,7.33,8.31,0.82,-0.210091743
ADTN,2013,7.358333333,66766.067,48.13,7.55,9.48,0.77,1.31,7.06,6.09,3.4,-13.72,-3.11,4.05,-29.86,1.27,48.06,12.95,23.46,3.71,2.62,0.08,47.49,49.59,7.69,8.18,0.77,-0.192891522
