VNET,2016,4.866666666666666666666666667,74497.901,70.06,13.22,12.91,0.47,1.23,4.13,3.92,-22.88,6.48,-21.16,-22.01,27.05,8.66,31.44,14.97,18.64,2.1,1.48,0.05,80.74,77.84,4.52,4.28,0.47,0.1383737517831669044222539230
VNET,2015,5.266666666666666666666666667,72482.854,69.19,14.15,13.7,0.59,1.27,5.19,4.89,1.06,9.85,-58.83,-58.84,210.29,8.01,24.42,15.92,21.0,1.53,0.81,0.06,65.21,49.75,5.6,5.12,0.59,-0.6684011352885525070955534532
VNET,2014,6.175,69710.435,58.78,8.81,8.52,0.59,1.25,12.97,11.8,-13.04,-14.28,62.33,63.7,-83.5,6.34,23.42,16.09,20.08,1.46,0.68,0.05,63.53,46.92,5.74,4.88,0.59,0.3665158371040723981900452489
VNET,2013,7.358333333333333333333333333,66766.067,51.27,8.94,8.63,0.69,1.33,8.29,7.49,-8.23,-52.34,-14.56,-10.38,nan,6.89,22.08,17.5,24.9,1.26,0.81,0.09,59.44,37.99,6.14,5.64,0.69,-0.3422619047619047619047619048
VNET,2012,8.075,64621.020,53.25,10.44,10.19,0.72,1.3,9.9,8.75,-5.38,33.82,-7.08,-4.82,nan,5.38,21.06,17.78,23.34,1.18,0.75,0.07,59.96,55.43,6.09,6.29,0.72,1.447450572320499479708636837
TWOU,2016,4.866666666666666666666666667,74497.901,80.09,-10.22,-10.05,0.87,1.25,-10.58,-10.76,37.07,nan,nan,nan,nan,11.84,75.6,16.81,20.09,4.5,4.3,nan,7.29,36.84,50.09,17.35,0.87,1.139635157545605306799336650
TWOU,2015,5.266666666666666666666666667,72482.854,78.66,-17.38,-17.8,0.87,1.18,-18.84,-18.57,36.24,nan,nan,nan,nan,9.06,83.49,14.11,15.26,5.92,5.67,nan,0.86,38.94,423.08,20.18,0.87,0.07755539671193709792709077913
TWOU,2014,6.175,69710.435,75.64,-25.29,-26.31,1.56,1.28,-61.78,-59.4,32.62,nan,nan,nan,nan,9.94,79.61,21.03,22.14,3.79,3.67,nan,3.62,50.16,100.91,18.39,1.56,0.4231943031536113936927772126
JOBS,2016,4.866666666666666666666666667,74497.901,71.65,26.17,29.93,0.33,1.56,12.45,9.75,13.78,7.77,-8.43,-7.01,34.77,1.99,86.86,34.98,35.72,2.49,2.3,nan,16.32,15.58,22.36,4.31,0.33,0.8002958579881656804733727811
JOBS,2015,5.266666666666666666666666667,72482.854,72.27,27.62,36.21,0.34,1.56,16.22,10.98,12.16,8.42,40.82,41.63,7.85,4.5,86.58,17.71,35.68,4.89,4.49,0.27,15.32,14.96,23.82,3.81,0.34,0.1473183978275627970128988459
JOBS,2014,6.175,69710.435,72.93,28.57,30.12,0.38,1.6,12.86,8.14,13.91,7.16,-12.33,-11.76,36.86,2.18,90.4,17.27,37.4,5.23,4.83,0.32,13.69,16.74,26.66,3.53,0.38,-0.1782426778242677824267782427
