Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SHLM,"A. Schulman, Inc.",42.75,1262210936,n/a,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm
ADES,"Advanced Emissions Solutions, Inc.",11.03,223985250.4,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
ASIX,AdvanSix Inc.,35.08,1069342447,n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
AEGN,Aegion Corp,24.73,806035449.7,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AMTX,"Aemetis, Inc",1.66,33569997.4,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
AEM,Agnico Eagle Mines Limited,44.86,10459404493,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
APD,"Air Products and Chemicals, Inc.",162.97,35680538210,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AKS,AK Steel Holding Corporation,4.47,1409300156,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
AGI,Alamos Gold Inc.,5.72,2225951568,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
AIN,Albany International Corporation,63.6,2051121115,n/a,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,95.5,10574623225,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,54.96,10233471154,n/a,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
AXU,Alexco Resource Corp,1.52,154496983,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,2.03,90697763.03,n/a,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
ATI,Allegheny Technologies Incorporated,25.75,3234437982,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati
AAU,"Almaden Minerals, Ltd.",0.8002,81780139.93,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
ACH,Aluminum Corporation of China Limited,15.27,9103239956,n/a,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
AMRK,"A-Mark Precious Metals, Inc.",12.84,90283818,n/a,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
AMRC,"Ameresco, Inc.",12.1,548383107.8,n/a,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc
