"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AVHI","A V Homes, Inc.","19.4","433555526.2","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/avhi",
"AAON","AAON, Inc.","34.45","1806208918.15","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","44.53","1542463003.14","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"ABAX","ABAXIS, Inc.","72.21","1639022580","n/a","1992","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/abax",
"AXDX","Accelerate Diagnostics, Inc.","24.2","1349545887.8","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"ACU","Acme United Corporation.","21.36","72069942.96","n/a","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ADNT","Adient plc","65.26","6092148713.82","n/a","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"ADOM","ADOMANI, Inc.","0.8538","61249560.3186","n/a","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"WMS","Advanced Drainage Systems, Inc.","24.25","1364343994","n/a","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"AEIS","Advanced Energy Industries, Inc.","66.4","2635821372","n/a","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","2.59","56467275.83","n/a","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","29.9","2259193349.4","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","56.24","1344472652.64","n/a","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"AEMD","Aethlon Medical, Inc.","1.27","21209905.51","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"AGCO","AGCO Corporation","65.48","5207194130.92","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","4.49","44389509.45","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/uavs",
"A","Agilent Technologies, Inc.","67.21","21673650874.59","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",
"AIRI","Air Industries Group","1.68","41765171.28","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/airi",
"ALG","Alamo Group, Inc.","114.51","1333918401.75","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",
"AMOT","Allied Motion Technologies, Inc.","41.36","389900058.24","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
"ALSN","Allison Transmission Holdings, Inc.","40.22","5564841693.64","n/a","2012","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alsn",
"AIMC","Altra Industrial Motion Corp.","45","1322251425","n/a","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",
