"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","2.67","442957856.73","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","45","189791820","n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae",
"AAV","Advantage Oil & Gas Ltd","3.25","604380354.5","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","2.35","95504991.7","n/a","2006","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/anw",
"AHGP","Alliance Holdings GP, L.P.","23.33","1396603790","n/a","2006","Energy","Coal Mining","https://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","16.55","2166448886.8","n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"AETI","American Electric Technologies, Inc.","0.8001","6997401.7659","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti",
"AEUA","Anadarko Petroleum Corporation","29.09","0","n/a","2015","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/aeua",
"APC","Anadarko Petroleum Corporation","63.03","32481115141.86","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",
"ANDV","Andeavor","110.56","16915990894.72","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/andv",
"ANDX","Andeavor Logistics LP","45.67","9917899244.08","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","20.72","6558379559.2","n/a","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","40.62","15522797004.24","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","2.71","255642920.51","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/arex",
"ARCH","Arch Coal, Inc.","97.22","2024595319.7","n/a","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.2","248553786.8","n/a","n/a","Energy","Electric Utilities: Central","https://www.nasdaq.com/symbol/at",
"BHGE","Baker Hughes, a GE company","32.57","36686895552.2","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/bhge",
"BLDP","Ballard Power Systems, Inc.","3.53","628658575.44","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","1.93","15974918.8","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/brn",
