"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.15","42791076.9","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","24.6025","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.86","57886105.32","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FCCY","1st Constitution Bancorp (NJ)","21.75","176442351","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","50.62","1361150438.36","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"ABM","ABM Industries Incorporated","33.48","2199636066.96","n/a","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"ANCX","Access National Corporation","28.53","585839670.39","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ancx",
"ACNB","ACNB Corporation","29.25","205441996.5","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"AEB","Aegon NV","24.95","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.22","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","6.77","14286553612.46","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.84","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","26.51","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aek",
"AMG","Affiliated Managers Group, Inc.","189.58","10331391491.8","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","43.76","68210109344.32","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"AGFS","AgroFresh Solutions, Inc.","7.35","374137395.45","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.5","0","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"Y","Alleghany Corporation","614.44","9460332372.56","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",
"ABTX","Allegiance Bancshares, Inc.","39.15","520094243.25","n/a","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"AB","AllianceBernstein Holding L.P.","26.85","2587319404.65","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ab",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","12.7","1203980078.7","n/a","2005","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nfj",
"ALL","Allstate Corporation (The)","94.8","33602627406","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/all",
"ALLY","Ally Financial Inc.","27.15","11767417807.05","n/a","2014","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ally",
"AMR","Alta Mesa Resources, Inc.","8","3062193024","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","1.55","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/amrww",
"AAMC","Altisource Asset Management Corp","65.5","104920192.5","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/aamc",
"AMBC","Ambac Financial Group, Inc.","15.68","709966566.4","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","6.99","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambcw",
"ATAX","America First Multifamily Investors, L.P.","6.175","372807436.95","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax",
"AEL","American Equity Investment Life Holding Company","29.36","2638883317.92","n/a","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/ael",
"AXP","American Express Company","93.28","80234294537.76","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/axp",
"AFG","American Financial Group, Inc.","112.22","9923162577.84","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afg",
"AFGE","American Financial Group, Inc.","25.8608","0","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afge",
"AFGH","American Financial Group, Inc.","25.98","0","n/a","2015","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afgh",
"AIG","American International Group, Inc.","54.42","49112356939.38","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/aig",
