"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACTG","Acacia Research Corporation","3.525","178498534.05","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","150.13","101040164115.56","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","71.43","12145356116.55","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","172.04","441426154649.04","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","2.16","81909610.56","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","205.98","11423923311.54","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","3.3","87293124.6","n/a","1994","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","142.2","5701907871","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/athn",
"ATKR","Atkore International Group Inc.","18.58","861768418.64","n/a","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atkr",
"RILY","B. Riley Financial, Inc.","19.5","520209729","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","24.78","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyg",
"RILYL","B. Riley Financial, Inc.","25.43","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","25.02","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyz",
"BTN","Ballantyne Strong, Inc","4.8","69226032","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/btn",
"BKNG","Booking Holdings Inc.","2085.86","100723242509.12","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bkng",
"BOXL","Boxlight Corporation","3.9448","38060211.4704","n/a","2017","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/boxl",
"BFAM","Bright Horizons Family Solutions Inc.","98.8","5794133508.8","n/a","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","107.03","12485496885.4","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","4.25","53833109.5","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","19.33","5175385784.9","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","35.99","38860410630.17","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/caj",
"CATM","Cardtronics plc","24.02","1103020210.16","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/catm",
"CASS","Cass Information Systems, Inc","58.43","717915795.81","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cass",
"CBAK","CBAK Energy Technology, Inc.","1.35","35401477.95","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cbak",
"CBZ","CBIZ, Inc.","18.7","1028284258.1","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cbz",
"CDK","CDK Global, Inc.","64.29","8650764293.46","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cdk",
"CCRC","China Customer Relations Centers, Inc.","15","274944000","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"CREG","China Recycling Energy Corporation","1.7","14127336.6","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"CMPR","Cimpress N.V","150.98","4637272341.38","n/a","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/cmpr",
"CLCT","Collectors Universe, Inc.","16.77","151202395.11","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/clct",
"CNDT","Conduent Incorporated","19.1","4020432783.3","n/a","2016","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cndt",
"CSGP","CoStar Group, Inc.","364.06","13140636846.06","n/a","1998","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/csgp",
"COTV","Cotiviti Holdings, Inc.","34","3142345416","n/a","2016","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cotv",
"CRAI","CRA International,Inc.","55.19","462227232.81","n/a","1998","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/crai",
"CTRP","Ctrip.com International, Ltd.","43.91","20294267595.2","462178720","2003","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctrp",
"CTEK","CynergisTek, Inc.","4.94","47387182.18","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctek",
"DHX","DHI Group, Inc.","1.75","88214031.5","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/dhx",
"DBD","Diebold Nixdorf Incorporated","14.8","1123968136.4","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/dbd",
"APPS","Digital Turbine, Inc.","1.7","127743701.8","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/apps",
"DLB","Dolby Laboratories","67.54","6992067558.52","n/a","2005","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/dlb",
"KODK","Eastman Kodak Company","5.2","221740740","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kodk",
"EBAY","eBay Inc.","39.9","39652558194.9","n/a","1998","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","25.88","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ebayl",
"ESIO","Electro Scientific Industries, Inc.","19.64","658963027.96","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/esio",
"EEX","Emerald Expositions Events, Inc.","19.56","1423640193.96","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/eex",
"ENR","Energizer Holdings, Inc.","58.03","3463562679.78","n/a","2015","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/enr",
"ENV","Envestnet, Inc","53.95","2412903013.95","n/a","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/env",
"ETSY","Etsy, Inc.","28.97","3473915938.38","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/etsy",
"XELA","Exela Technologies, Inc.","4.78","729261742.04","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/xela",
"EXLS","ExlService Holdings, Inc.","56.7","1939040888.4","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/exls",
"FICO","Fair Isaac Corporation","168.81","5076637478.85","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fico",
"FIS","Fidelity National Information Services, Inc.","96.23","31869385289.99","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fis",
"FNJN","Finjan Holdings, Inc.","2.89","80110302.92","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/fnjn",
"FDC","First Data Corporation","15.14","14066365628.18","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fdc",
"FLT","FleetCor Technologies, Inc.","200.98","18049783074.96","n/a","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/flt",
"FCEL","FuelCell Energy, Inc.","2.01","164082058.65","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/fcel",
"GPN","Global Payments Inc.","109.93","17535769987.86","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gpn",
"GPRO","GoPro, Inc.","5.26","768932221.58","n/a","2014","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/gpro",
"GRVY","GRAVITY Co., Ltd.","80","131528160","1644102","2005","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grvy",
"GRUB","GrubHub Inc.","97.91","8537189507.05","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grub",
"HQY","HealthEquity, Inc.","63.48","3869235626.16","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/hqy",
"HPJ","Highpower International Inc","3.55","55059285.9","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hpj",
"HMSY","HMS Holdings Corp","17.52","1452256276.8","n/a","1992","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/hmsy",
"HRG","HRG Group, Inc.","15.61","3150767294.36","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hrg",
"IKNX","Ikonics Corporation","9.133","18115789.549","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/iknx",
"IMAX","Imax Corporation","21.9","1421358201.9","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/imax",
"INWK","InnerWorkings, Inc.","9.48","515107725.84","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/inwk",
"ITGR","Integer Holdings Corporation","56.55","1803978025.2","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/itgr",
"IDCC","InterDigital, Inc.","79","2735558596","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/idcc",
"ISDR","Issuer Direct Corporation","15.9372","48334754.5272","n/a","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/isdr",
"ITUS","ITUS Corporation","4.6","76503478.6","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/itus",
"KGJI","Kingold Jewelry Inc.","1.3","85947552.6","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/kgji",
"LC","LendingClub Corporation","3.31","1382188922.85","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lc",
"TAX","Liberty Tax, Inc.","10.15","128737210.35","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/tax",
"LLNW","Limelight Networks, Inc.","3.88","430006998.48","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/llnw",
"LQDT","Liquidity Services, Inc.","6","191611578","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lqdt",
"LKSD","LSC Communications, Inc.","16.38","572687584.56","n/a","2016","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/lksd",
"MARA","Marathon Patent Group, Inc.","1.5","28991910","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/mara",
"MCHX","Marchex, Inc.","2.73","119634518.64","n/a","2004","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mchx",
"MA","Mastercard Incorporated","174.27","193245232107","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ma",
"MMS","Maximus, Inc.","68.15","4444971166.2","n/a","1997","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mms",
"MXWL","Maxwell Technologies, Inc.","5.82","221114796.06","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/mxwl",
"MELI","MercadoLibre, Inc.","329.67","14557358189.88","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/meli",
"MGI","Moneygram International, Inc.","8.35","463095868.05","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mgi",
"MSCI","MSCI Inc","147.61","13266731865.98","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/msci",
"LABL","Multi-Color Corporation","67.95","1389086833.05","n/a","1987","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/labl",
"NCR","NCR Corporation","31.15","3693490699.5","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/ncr",
"NTES","NetEase, Inc.","272.99","20502487266.63","75103437","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ntes",
"NTIP","Network-1 Technologies, Inc.","2.75","65310608","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/ntip",
"EGOV","NIC Inc.","14","939683612","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/egov",
"NLSN","Nielsen N.V.","32.34","11523358788.48","n/a","2011","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/nlsn",
"NOVT","Novanta Inc.","57.2","1984001791.2","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/novt",
"OMNT","Ominto, Inc.","3.03","52365526.56","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/omnt",
