"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CAFD","8point3 Energy Partners LP","12.15","960983655.75","n/a","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","18.85","1737263935.55","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/eght",
"ADTN","ADTRAN, Inc.","15.55","744908630.6","n/a","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADSW","Advanced Disposal Services, Inc.","22.7","2009745725.8","n/a","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",
"AKTS","Akoustis Technologies, Inc.","5.08","113389156","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALSK","Alaska Communications Systems Group, Inc.","1.58","82990550.7","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"AQN","Algonquin Power & Utilities Corp.","9.7","4199818884.3","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqn",
"ALE","Allete, Inc.","71.67","3674461557.24","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ale",
"LNT","Alliant Energy Corporation","41.11","9516217949.08","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/lnt",
"AEE","Ameren Corporation","55.51","13507991689.92","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/aee",
"AMOV","America Movil, S.A.B. de C.V.","19.52","64477695068.16","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",
"AMX","America Movil, S.A.B. de C.V.","19.66","64940137553.28","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amx",
"AEP","American Electric Power Company, Inc.","67.34","33151079778.18","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aep",
"AMID","American Midstream Partners, LP","11","581380272","n/a","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amid",
"AWR","American States Water Company","53.22","1954952399.52","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awr",
"AWK","American Water Works","80.86","14396211707.8","n/a","2008","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awk",
"AMGP","Antero Midstream GP LP","16.09","2995792256.91","n/a","2017","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amgp",
"AM","Antero Midstream Partners LP","25.08","4688318965.44","n/a","2014","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/am",
"WTR","Aqua America, Inc.","33.41","5943421267.03","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/wtr",
"WAAS","AquaVenture Holdings Limited","13.56","359363241.84","n/a","2016","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/waas",
"APLP","Archrock Partners, L.P.","13.95","1000396308.15","n/a","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/aplp",
"AROC","Archrock, Inc.","9.95","713544320.15","n/a","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/aroc",
"ARTNA","Artesian Resources Corporation","36.17","333583178.16","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/artna",
"T","AT&T Inc.","35.14","228242420432.32","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/t",
"TBB","AT&T Inc.","25.07","0","n/a","2017","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/tbb",
"ATTO","Atento S.A.","8","591272448","n/a","2014","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/atto",
"AY","Atlantica Yield plc","19.58","1962253950.8","n/a","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ay",
"ATO","Atmos Energy Corporation","83.38","9252481489.68","n/a","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/ato",
"ATNI","ATN International, Inc.","63.67","1020508808.65","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/atni",
"AUDC","AudioCodes Ltd.","7.22","208602239.94","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/audc",
"AWX","Avalon Holdings Corporation","2.31","8785694.61","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/awx",
"AGR","Avangrid, Inc.","50.07","15475960053.6","n/a","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/agr",
"AVYA","Avaya Holdings Corp.","22.76","2498914558.12","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/avya",
