"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AIRT","Air T, Inc.","25.2","51478282.8","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","21.98","1302040513.76","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",
"ALK","Alaska Air Group, Inc.","63.95","7891075780.95","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/alk",
"ALGT","Allegiant Travel Company","151.05","2426870050.35","n/a","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",
"AAL","American Airlines Group, Inc.","45.87","21439638000","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal",
"ARCB","ArcBest Corporation","32.35","829502880.85","n/a","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/arcb",
"ASC","Ardmore Shipping Corporation","8","259563320","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/asc",
"AAWW","Atlas Air Worldwide Holdings","63.3","1610022080.4","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/aaww",
"AVH","Avianca Holdings S.A.","9.15","1140304210.65","n/a","2013","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/avh",
"AZUL","Azul S.A.","32.26","3591472668.98","n/a","2017","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/azul",
"BSTI","BEST Inc.","10.28","3842664000","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/bsti",
"BCO","Brink&#39;s Company (The)","74.35","3760319131.55","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/bco",
"BRS","Bristow Group Inc","15.2","537731068.8","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/brs",
"CHRW","C.H. Robinson Worldwide, Inc.","94.27","13143387638.81","n/a","1997","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/chrw",
"CNI","Canadian National Railway Company","74.39","54935581727.87","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/cni",
"CP","Canadian Pacific Railway Limited","177.79","25640146994.48","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/cp",
"CPLP","Capital Product Partners L.P.","3.2","407189414.4","n/a","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/cplp",
"CEA","China Eastern Airlines Corporation Ltd.","36.57","10581592144.41","n/a","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cea",
"ZNH","China Southern Airlines Company Limited","50.42","10172913905.3","n/a","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/znh",
"VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","8.75","873968173.75","n/a","2013","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/vlrs",
"CPA","Copa Holdings, S.A.","121.22","5106242914.52","n/a","2005","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cpa",
"CAAP","Corporacion America Airports SA","12.18","1949071151.16","n/a","2018","Transportation","Aerospace","https://www.nasdaq.com/symbol/caap",
"CMRE","Costamare Inc.","6.61","721777799.86","n/a","2010","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/cmre",
"CVTI","Covenant Transportation Group, Inc.","29.34","537826405.5","n/a","1994","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/cvti",
